"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","A","2",,,"flare","share","d-right","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","A","2",,,"flare","share","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","A","2",,,"rare","flare","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","A","2",,,"rare","flare","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","A","2",,,"rare","share","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","A","2",,,"rare","share","d-right","234"
"phonetic categorization","test","dill_15.wav","dill","15",,,,"T3","5",,,"till","dill","d-right","234"
"phonetic categorization","test","din_45.wav","din","45",,,,"T3","5",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_25.wav","dill","25",,,,"T3","5",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_55.wav","dip","55",,,,"T3","5",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_5.wav","din","5",,,,"T3","5",,,"tin","din","d-right","234"
"phonetic categorization","test","din_50.wav","din","50",,,,"T3","5",,,"tin","din","d-right","234"
"phonetic categorization","test","dip_30.wav","dip","30",,,,"T3","5",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_-5.wav","dip","-5",,,,"T3","5",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_70.wav","din","70",,,,"T3","5",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_35.wav","dill","35",,,,"T3","5",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_65.wav","dip","65",,,,"T3","5",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_40.wav","dill","40",,,,"T3","5",,,"till","dill","d-right","234"
"phonetic categorization","exposure","dill_10.wav","dill","10","labeled","expo-10ms","A","B","4","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_20.wav","dill","20","labeled","expo-10ms","A","B","4","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_20.wav","dill","20","labeled","expo-10ms","A","B","4","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_30.wav","dill","30","labeled","expo-10ms","A","B","4","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","din_-10.wav","din","-10","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_20.wav","din","20","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_5.wav","din","5","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_5.wav","din","5","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_0.wav","din","0","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_0.wav","din","0","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_10.wav","din","10","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_25.wav","din","25","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_30.wav","dip","30","labeled","expo-10ms","A","B","4","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","unlabeled","expo-10ms","A","B","4","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dill_45.wav","till","45","labeled","expo-10ms","A","B","4","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_55.wav","till","55","labeled","expo-10ms","A","B","4","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_60.wav","till","60","labeled","expo-10ms","A","B","4","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_80.wav","till","80","labeled","expo-10ms","A","B","4","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_40.wav","till","40","unlabeled","expo-10ms","A","B","4","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_50.wav","till","50","unlabeled","expo-10ms","A","B","4","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_60.wav","till","60","unlabeled","expo-10ms","A","B","4","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_60.wav","till","60","unlabeled","expo-10ms","A","B","4","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","din_45.wav","tin","45","labeled","expo-10ms","A","B","4","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_50.wav","tin","50","labeled","expo-10ms","A","B","4","50","16.431676725155","till","tin","d-right","234"
